A,code,name,price,RF,涨跌额,volumn,成交额,振幅,最高,最低,今开,昨收,量比,,turnover,PE,市净率,B,C,D,E,F,G,H,I
2,300325,德威新材,3.12,0.04,1.30,90096,28045459,2.92,3.15,3.06,3.10,3.08,0.32,0.73,1.13,44.78,2.08,3137918310,2479680013,-18.11%,-50.4%,0.32,2012-06-01,2018-09-07 15:00:00,90096
2,000692,惠天热电,3.12,0.04,1.30,9897,3078847,1.62,3.13,3.08,3.08,3.08,0.65,0.79,0.19,-,1.47,1662438824,1662291910,-5.45%,-40.91%,0.65,1997-02-27,2018-09-07 15:00:00,9897
2,002722,金轮股份,14.83,0.19,1.30,9548,14207452,3.01,15.08,14.64,14.64,14.64,0.14,1.03,0.86,21.69,1.47,2602168804,1644944348,-20.31%,-46.25%,0.14,2014-01-28,2018-09-07 15:00:00,9548
1,600308,华泰股份,4.68,0.06,1.30,58153,27106364,2.16,4.71,4.61,4.61,4.62,0.43,0.96,0.50,7.35,0.75,5464187240,5464187264,-15.68%,-27.55%,0.21,2000-09-28,2018-09-07 15:00:00,58153
2,300374,恒通科技,9.43,0.12,1.29,17411,16345821,2.69,9.50,9.25,9.32,9.31,0.32,0.85,1.06,45.11,1.62,2318953413,1552036336,-21.55%,-37.47%,0.11,2015-03-19,2018-09-07 15:00:00,17411
1,601689,拓普集团,16.46,0.21,1.29,9337,15359914,2.22,16.60,16.24,16.24,16.25,0.06,0.74,0.38,13.71,1.73,11975929231,4027039709,-15.72%,-34.32%,0.00,2015-03-19,2018-09-07 15:00:00,9337
2,300569,天能重工,12.55,0.16,1.29,12829,16102105,2.58,12.67,12.35,12.49,12.39,0.24,1.08,1.52,30.76,1.13,1882650629,1061645304,-25.7%,-45.69%,0.24,2016-11-25,2018-09-07 15:00:00,12829
1,600893,航发动力,24.30,0.31,1.29,69447,168665909,3.13,24.56,23.81,24.25,23.99,0.21,0.83,0.36,75.95,2.12,54671218419,47329753533,4.92%,-9.29%,0.08,1996-04-08,2018-09-07 15:00:00,69447
2,002350,北京科锐,6.30,0.08,1.29,24970,15718717,1.93,6.35,6.23,6.26,6.22,0.00,0.62,0.52,41.66,1.78,3151713538,3041978881,-6.53%,-37%,0.00,2010-02-03,2018-09-07 15:00:00,24970
2,002767,先锋电子,14.14,0.18,1.29,18957,26638735,4.23,14.36,13.77,13.95,13.96,0.35,1.68,1.53,83.81,3.07,2121000051,1748223687,-16.82%,-31.16%,0.50,2015-06-12,2018-09-07 15:00:00,18957
1,603377,东方时尚,13.42,0.17,1.28,16782,22891196,5.43,13.88,13.16,13.45,13.25,-0.67,1.17,1.02,34.59,4.65,7890960045,2212404438,-48.27%,-66.51%,-0.45,2016-02-05,2018-09-07 15:00:00,16782
2,002591,恒大高新,6.32,0.08,1.28,12282,7735168,3.04,6.42,6.23,6.27,6.24,0.00,0.77,0.68,62.47,1.67,1946603718,1149552232,-21.69%,-42.91%,0.16,2011-06-21,2018-09-07 15:00:00,12282
2,300396,迪瑞医疗,17.41,0.22,1.28,7104,12345175,2.73,17.49,17.02,17.20,17.19,0.12,0.64,0.29,23.67,3.70,4805682258,4302052398,-16.22%,-59.29%,0.00,2014-09-10,2018-09-07 15:00:00,7104
2,002349,精华制药,5.53,0.07,1.28,16974,9384458,2.20,5.57,5.45,5.45,5.46,0.18,0.87,0.22,18.18,1.99,4621555964,4221353443,-18.56%,-30%,0.00,2010-02-03,2018-09-07 15:00:00,16974
2,002082,万邦德,9.53,0.12,1.28,9583,9138143,2.44,9.65,9.42,9.43,9.41,0.00,0.84,0.40,32.91,1.57,2268139936,2268139936,-31.59%,-26.58%,-0.10,2006-11-20,2018-09-07 15:00:00,9583
1,601226,华电重工,3.95,0.05,1.28,12754,4997520,2.05,3.95,3.87,3.90,3.90,1.02,0.77,0.11,257.52,1.30,4562250055,4562250055,-6.84%,-27.79%,-,2014-12-11,2018-09-07 15:00:00,12754
1,600885,宏发股份,19.80,0.25,1.28,36523,72160454,3.43,20.08,19.41,19.66,19.55,0.66,0.79,0.49,20.07,3.60,14746278161,14746278161,-33.78%,-54.06%,0.56,1996-02-05,2018-09-07 15:00:00,36523
1,600317,营口港,2.37,0.03,1.28,50278,11853625,1.71,2.37,2.33,2.34,2.34,0.42,1.19,0.08,21.81,1.40,15340968976,15340969064,-4.05%,-30.09%,0.42,2002-01-31,2018-09-07 15:00:00,50278
2,002170,芭田股份,3.16,0.04,1.28,94216,29562285,2.24,3.17,3.10,3.12,3.12,0.64,2.11,1.44,346.20,1.46,2802485977,2068631716,-22.36%,-51.83%,0.00,2007-09-19,2018-09-07 15:00:00,94216
2,002714,牧原股份,22.90,0.29,1.28,42718,98152006,2.79,23.22,22.59,22.60,22.61,0.00,1.41,0.40,-,5.55,47751862888,24602222909,-53.08%,-56.74%,0.09,2014-01-28,2018-09-07 15:00:00,42718
1,603133,碳元科技,16.69,0.21,1.27,11764,19581937,3.88,16.86,16.22,16.56,16.48,-0.06,0.93,1.05,55.29,3.83,3471520111,1868961197,-28.25%,-49.32%,0.00,2017-03-20,2018-09-07 15:00:00,11764
2,002203,海亮股份,8.85,0.11,1.26,33949,29904063,1.49,8.85,8.72,8.72,8.74,0.00,0.74,0.21,13.63,2.65,15006043947,14398276888,5.99%,12.88%,-,2008-01-16,2018-09-07 15:00:00,33949
2,002022,科华生物,11.29,0.14,1.26,20547,23086726,2.06,11.34,11.11,11.15,11.15,-0.09,1.19,0.42,21.22,2.74,5815244069,5580473567,-9.24%,-17.77%,0.00,2004-07-21,2018-09-07 15:00:00,20547
1,600084,中葡股份,4.03,0.05,1.26,108666,43712158,3.52,4.10,3.96,3.97,3.98,0.00,0.93,0.97,-,1.97,4528619361,4528619369,-26.46%,-40.47%,0.00,1997-07-11,2018-09-07 15:00:00,108666
1,603208,江山欧派,24.05,0.30,1.26,2577,6168332,2.61,24.27,23.65,23.84,23.75,0.25,0.65,0.84,16.84,1.94,1943626205,741126244,-21.66%,-44.57%,0.59,2017-02-10,2018-09-07 15:00:00,2577
2,000520,长航凤凰,3.25,0.04,1.25,33489,10858502,2.18,3.28,3.21,3.21,3.21,0.00,0.57,0.33,32.08,8.96,3289271229,3289271232,6.91%,-19.55%,0.31,1993-10-25,2018-09-07 15:00:00,33489
2,000622,恒立实业,3.25,0.04,1.25,10278,3320401,2.18,3.26,3.19,3.21,3.21,0.31,1.17,0.24,-,7.52,1381984500,1381984500,-2.99%,-30.85%,0.31,1996-11-07,2018-09-07 15:00:00,10278
1,603131,上海沪工,13.72,0.17,1.25,3746,5144681,3.69,13.90,13.40,13.55,13.55,0.00,1.22,0.75,84.27,4.24,2744000053,686000013,-16.6%,-35.1%,0.00,2016-06-07,2018-09-07 15:00:00,3746
1,601311,骆驼股份,11.35,0.14,1.25,18761,21249754,2.50,11.44,11.16,11.19,11.21,-0.26,1.17,0.22,16.74,1.77,9629315036,9629315081,-0.53%,-14.66%,-,2011-06-02,2018-09-07 15:00:00,18761
2,002533,金杯电工,4.90,0.06,1.24,35959,17461019,2.48,4.92,4.80,4.82,4.84,0.20,2.01,0.69,18.66,1.18,2710294325,2537480729,-2.2%,-28.57%,0.20,2010-12-31,2018-09-07 15:00:00,35959
2,002206,海利得,4.07,0.05,1.24,39690,16081504,1.99,4.09,4.01,4.01,4.02,0.25,0.82,0.43,13.52,1.77,4977726795,3717960590,-19.09%,-33.82%,0.25,2008-01-23,2018-09-07 15:00:00,39690
2,300621,维业股份,10.66,0.13,1.23,8900,9458843,2.37,10.70,10.45,10.57,10.53,0.00,1.09,1.39,19.45,2.62,2216549758,680717145,-48.2%,-45.5%,0.09,2017-03-16,2018-09-07 15:00:00,8900
2,000582,北部湾港,8.25,0.10,1.23,32958,27052739,3.56,8.35,8.06,8.17,8.15,0.12,0.70,1.25,17.19,1.56,11439160978,2171195350,1.48%,-16.67%,0.24,1995-11-02,2018-09-07 15:00:00,32958
1,603848,好太太,16.46,0.20,1.23,13655,22634697,4.18,16.95,16.27,16.27,16.26,0.00,0.86,3.33,29.74,5.81,6600459633,674859962,-31.3%,-32.32%,0.06,2017-12-01,2018-09-07 15:00:00,13655
2,002638,勤上股份,3.29,0.04,1.23,208275,67769872,2.46,3.29,3.21,3.23,3.25,0.92,0.72,2.13,30.11,0.95,4996475481,3222126894,-5.73%,-28.94%,0.61,2011-11-25,2018-09-07 15:00:00,208275
1,603225,新凤鸣,22.32,0.27,1.22,18773,41855050,2.68,22.49,21.90,22.03,22.05,-0.13,0.83,1.58,11.59,2.61,18811295743,2656079964,7.98%,-39.45%,0.00,2017-04-18,2018-09-07 15:00:00,18773
2,000050,深天马A,11.63,0.14,1.22,96678,112182899,2.79,11.73,11.41,11.41,11.49,0.26,0.88,0.69,14.18,0.92,23819671318,16293280330,-28.17%,-41.59%,0.09,1995-03-15,2018-09-07 15:00:00,96678
1,600894,广日股份,5.83,0.07,1.22,21936,12736507,1.56,5.84,5.75,5.79,5.76,0.00,0.92,0.26,17.69,0.73,5013490332,5013490338,-9.33%,-38.37%,0.00,1996-03-28,2018-09-07 15:00:00,21936
1,601186,中国铁建,9.97,0.12,1.22,518379,518000112,4.37,10.20,9.77,9.85,9.85,0.00,1.17,0.45,8.45,0.99,135388032381,114687361385,11.52%,-12.62%,-0.10,2008-03-10,2018-09-07 15:00:00,518379
2,002662,京威股份,4.15,0.05,1.22,138595,56954409,3.17,4.17,4.04,4.11,4.10,0.73,0.55,0.95,12.66,1.19,6225000143,6054730221,12.77%,-42.99%,0.48,2012-03-09,2018-09-07 15:00:00,138595
1,600099,林海股份,6.64,0.08,1.22,17384,11429608,2.13,6.64,6.50,6.52,6.56,0.30,1.20,0.79,3330.96,3.09,1454956771,1454956771,-27.59%,-31.69%,0.00,1997-07-04,2018-09-07 15:00:00,17384
2,002878,元隆雅图,24.00,0.29,1.22,14610,35064621,3.37,24.36,23.56,23.56,23.71,0.17,0.87,4.04,32.03,5.77,3125496240,867755832,-5.7%,-34.85%,-0.04,2017-06-06,2018-09-07 15:00:00,14610
1,603903,中持股份,26.00,0.31,1.21,4715,12199617,2.06,26.10,25.57,25.69,25.69,0.08,0.96,0.64,23.12,3.49,2686736000,1918791576,-9.94%,-32.69%,-,2017-03-14,2018-09-07 15:00:00,4715
1,600861,北京城乡,6.67,0.08,1.21,11721,7773908,1.37,6.67,6.58,6.60,6.59,0.15,0.73,0.37,40.05,0.92,2113089034,2113089001,-14.6%,-30.23%,0.15,1994-05-20,2018-09-07 15:00:00,11721
1,600561,江西长运,5.86,0.07,1.21,17376,10123115,1.38,5.86,5.78,5.80,5.79,0.34,0.94,0.73,21.01,0.97,1389195072,1389195072,-10.81%,-29.06%,0.17,2002-07-16,2018-09-07 15:00:00,17376
2,300114,中航电测,10.84,0.13,1.21,44626,47895250,4.30,10.95,10.49,10.70,10.71,0.28,0.98,0.76,35.22,4.21,6403843899,6403843867,21.39%,5.24%,0.09,2010-08-27,2018-09-07 15:00:00,44626
1,600331,宏达股份,2.54,0.03,1.20,65317,16535148,1.99,2.56,2.51,2.53,2.51,0.40,0.97,0.32,199.62,1.04,5161279922,5161279922,-11.19%,-51.62%,0.00,2001-12-20,2018-09-07 15:00:00,65317
1,600340,华夏幸福,24.55,0.29,1.20,91220,224973909,2.35,24.92,24.35,24.52,24.26,0.00,0.67,0.31,5.24,2.30,72543939452,72543939329,-15.66%,-23.9%,0.04,2003-12-30,2018-09-07 15:00:00,91220
2,002827,高争民爆,13.53,0.16,1.20,11291,15268111,3.37,13.75,13.30,13.30,13.37,0.07,1.02,1.79,45.83,3.23,2489519951,854372128,-12.26%,-26.31%,0.07,2016-12-09,2018-09-07 15:00:00,11291
2,300005,探路者,3.36,0.04,1.20,82298,27679414,2.41,3.39,3.31,3.31,3.32,-0.30,1.03,1.24,62.08,1.17,2994747424,2225068323,-26.64%,-39.35%,0.00,2009-10-30,2018-09-07 15:00:00,82298
1,603303,得邦照明,10.17,0.12,1.19,8665,8802040,2.69,10.30,10.03,10.03,10.05,-0.10,2.02,0.85,18.63,1.71,4149360031,1037340008,-1.36%,-29.28%,0.00,2017-03-30,2018-09-07 15:00:00,8665
1,603856,东宏股份,17.00,0.20,1.19,26593,44789027,3.69,17.08,16.46,16.50,16.80,0.59,0.94,4.15,27.36,2.95,4359048200,1090193000,-12.78%,-17.72%,0.95,2017-11-06,2018-09-07 15:00:00,26593
1,603976,正川股份,14.50,0.17,1.19,10945,15892642,3.00,14.64,14.21,14.21,14.33,-0.41,1.78,2.86,23.36,2.30,2192400000,555349101,-15.2%,-47.54%,-0.28,2017-08-22,2018-09-07 15:00:00,10945
1,601618,中国中冶,3.40,0.04,1.19,159122,54111580,1.49,3.42,3.37,3.37,3.36,0.00,0.63,0.09,12.12,1.10,70460307154,60698907200,-4.23%,-30.04%,0.29,2009-09-21,2018-09-07 15:00:00,159122
2,000936,华西股份,5.11,0.06,1.19,31915,16343955,1.98,5.16,5.06,5.08,5.05,0.20,1.16,0.36,23.09,1.00,4527525971,4524264529,-22.93%,-24.74%,0.20,1999-08-10,2018-09-07 15:00:00,31915
1,600416,湘电股份,6.81,0.08,1.19,40486,27901785,3.86,6.99,6.73,6.73,6.73,-0.73,1.51,0.46,-,1.03,6441131699,6002617355,-15.4%,-44.99%,-0.73,2002-07-18,2018-09-07 15:00:00,40486
1,601111,中国国航,7.64,0.09,1.19,252922,193137509,2.91,7.72,7.50,7.58,7.55,0.00,0.72,0.27,16.00,1.26,110969586074,72187708086,-34.87%,-35.2%,0.00,2006-08-18,2018-09-07 15:00:00,252922
2,001896,豫能控股,3.40,0.04,1.19,29507,10027103,1.79,3.42,3.36,3.36,3.36,0.00,1.23,0.32,-,0.65,3911998790,3160340453,-11.92%,-38.07%,0.00,1998-01-22,2018-09-07 15:00:00,29507
2,300630,普利制药,58.18,0.68,1.18,10571,61805164,5.03,59.77,56.88,56.88,57.50,0.05,1.27,1.07,75.79,13.80,10657204753,5758452509,-15.67%,-19.34%,0.02,2017-03-28,2018-09-07 15:00:00,10571
1,603365,水星家纺,16.23,0.19,1.18,20442,33286920,2.18,16.46,16.11,16.13,16.04,-0.06,0.87,3.07,18.08,2.14,4328053978,1082054069,-34.64%,-32.32%,-0.12,2017-11-20,2018-09-07 15:00:00,20442
2,002247,帝龙文化,6.00,0.07,1.18,67752,40687062,3.37,6.11,5.91,5.94,5.93,0.17,0.65,1.26,8.19,0.97,5107176294,3225326112,-44.7%,-55.75%,-,2008-06-12,2018-09-07 15:00:00,67752
2,002110,三钢闽光,18.81,0.22,1.18,184506,349344832,2.80,19.17,18.65,18.96,18.59,0.21,1.06,2.97,4.75,2.04,30742765158,11704894455,6.09%,-8.78%,0.00,2007-01-26,2018-09-07 15:00:00,184506
2,002462,嘉事堂,17.20,0.20,1.18,34054,58765443,2.29,17.39,17.00,17.07,17.00,0.00,1.04,1.37,11.62,1.83,4309052809,4288266969,-17.86%,-33.69%,0.00,2010-08-18,2018-09-07 15:00:00,34054
2,002020,京新药业,12.05,0.14,1.18,32796,39564733,2.18,12.16,11.90,11.90,11.91,-0.17,0.85,0.56,20.50,2.42,8734707738,7079119652,-5.34%,4.97%,-0.08,2004-07-15,2018-09-07 15:00:00,32796
1,603900,莱绅通灵,13.02,0.15,1.17,19377,25314309,2.33,13.20,12.90,12.94,12.87,0.08,0.52,2.28,12.68,1.87,4432969553,1108242388,-43.73%,-54.33%,-0.15,2016-11-23,2018-09-07 15:00:00,19377
1,603729,龙韵股份,18.16,0.21,1.17,12431,22489593,2.67,18.28,17.80,18.04,17.95,0.11,0.76,1.33,59.87,1.98,1695018066,1695018066,-59.14%,-70.65%,0.11,2015-03-24,2018-09-07 15:00:00,12431
2,002305,南国置业,2.59,0.03,1.17,21873,5658222,1.95,2.61,2.56,2.57,2.56,0.00,0.97,0.13,140.67,1.03,4491618695,4204352911,-25.57%,-43.94%,0.00,2009-11-06,2018-09-07 15:00:00,21873
2,300402,宝色股份,9.52,0.11,1.17,9631,9183980,2.66,9.61,9.36,9.36,9.41,-0.10,0.71,1.12,398.06,3.17,1923040092,821576040,-1.35%,-25.33%,0.00,2014-10-10,2018-09-07 15:00:00,9631
2,002294,信立泰,28.56,0.33,1.17,48403,138924146,2.83,29.12,28.32,28.42,28.23,0.00,1.00,0.46,18.92,4.98,29874216401,29874216401,-27.81%,-34.66%,0.04,2009-09-10,2018-09-07 15:00:00,48403
2,300172,中电环保,6.06,0.07,1.17,15312,9268437,1.84,6.10,5.99,6.00,5.99,-0.33,0.71,0.44,24.04,2.54,3164531970,2097312361,-0.66%,-26.9%,-0.16,2011-02-01,2018-09-07 15:00:00,15312
2,000898,鞍钢股份,6.05,0.07,1.17,169964,103083533,2.17,6.12,5.99,6.03,5.98,-0.17,0.99,0.28,6.25,0.85,43770588854,37201418261,-7.21%,-8.33%,-,1997-12-25,2018-09-07 15:00:00,169964
2,000779,三毛派神,11.22,0.13,1.17,57192,63689080,5.50,11.46,10.85,11.10,11.09,0.18,0.81,3.07,-,7.15,2091868294,2091868294,-18.64%,-20.48%,0.09,1997-05-28,2018-09-07 15:00:00,57192
1,600051,宁波联合,6.08,0.07,1.16,11719,7134077,1.66,6.12,6.02,6.03,6.01,0.00,1.10,0.38,19.23,0.82,1890150376,1890150376,-20.94%,-36.34%,0.16,1997-04-10,2018-09-07 15:00:00,11719
1,603045,福达合金,40.05,0.46,1.16,39561,158355468,4.24,40.76,39.08,39.67,39.59,-0.10,1.30,16.09,77.42,5.35,3936914925,984428981,-26.46%,188.13%,-,2018-05-17,2018-09-07 15:00:00,39561
1,603369,今世缘,17.49,0.20,1.16,79624,140264655,3.70,17.90,17.26,17.26,17.29,0.11,1.04,0.63,12.81,3.78,21941204713,21941204713,-22.71%,12.48%,0.06,2014-07-03,2018-09-07 15:00:00,79624
1,600285,羚锐制药,8.69,0.10,1.16,82006,70758109,2.68,8.74,8.51,8.58,8.59,-0.11,1.13,1.53,17.55,2.44,5147267834,4652926519,-3.12%,-8.04%,0.00,2000-10-18,2018-09-07 15:00:00,82006
2,300162,雷曼股份,5.27,0.06,1.15,33631,17725553,2.50,5.31,5.18,5.18,5.21,-0.19,0.82,1.54,78.91,1.72,1841917851,1154477979,-34.37%,-31.91%,-0.19,2011-01-13,2018-09-07 15:00:00,33631
1,600623,华谊集团,8.80,0.10,1.15,56955,50144356,2.64,8.93,8.70,8.70,8.70,0.23,0.92,0.30,8.82,1.07,18633392438,16494112383,-16.35%,2.56%,0.00,1992-12-04,2018-09-07 15:00:00,56955
2,002327,富安娜,7.89,0.09,1.15,32106,25314830,2.18,7.98,7.81,7.84,7.80,0.00,0.87,0.62,18.59,2.17,6873433379,4099353831,-31.39%,-24.5%,-0.13,2009-12-30,2018-09-07 15:00:00,32106
2,300198,纳川股份,3.53,0.04,1.15,433249,151018629,2.29,3.53,3.45,3.46,3.49,1.73,0.76,5.79,72.21,2.20,3641366317,2642233896,-44.67%,-46.43%,1.73,2011-04-07,2018-09-07 15:00:00,433249
2,000680,山推股份,3.52,0.04,1.15,62242,22083409,3.45,3.60,3.48,3.49,3.48,-0.28,0.94,0.59,29.14,1.29,4367572367,3720362491,-2.76%,-31.52%,0.00,1997-01-22,2018-09-07 15:00:00,62242
1,601999,出版传媒,5.32,0.06,1.14,15619,8276424,2.09,5.34,5.23,5.25,5.26,0.00,1.74,0.28,23.10,1.45,2930866299,2930866320,-9.52%,-28.78%,0.00,2007-12-21,2018-09-07 15:00:00,15619
1,600195,中牧股份,12.38,0.14,1.14,42188,52084141,6.29,12.53,11.76,12.30,12.24,0.00,1.01,0.70,19.36,1.99,7449293669,7449293669,-38.59%,-37.66%,0.00,1999-01-07,2018-09-07 15:00:00,42188
1,600177,雅戈尔,7.10,0.08,1.14,35643,25248673,1.28,7.12,7.03,7.06,7.02,0.00,1.00,0.10,8.54,1.04,25428275865,25428275914,-12.99%,-24.55%,0.14,1998-11-19,2018-09-07 15:00:00,35643
1,603323,吴江银行,6.23,0.07,1.14,74171,46131906,1.95,6.28,6.16,6.17,6.16,0.16,0.72,1.22,8.93,1.04,9021565379,3781161153,-5.03%,-24.85%,-0.16,2016-11-29,2018-09-07 15:00:00,74171
2,002256,兆新股份,3.55,0.04,1.14,165278,58369329,1.99,3.57,3.50,3.51,3.51,0.28,1.00,1.33,52.58,3.04,6682562056,4426918555,-25.73%,-16.47%,0.28,2008-06-25,2018-09-07 15:00:00,165278
2,000530,大冷股份,3.54,0.04,1.14,39399,13912676,2.29,3.57,3.49,3.49,3.50,-0.28,0.85,0.66,25.66,0.92,3028236635,2115566394,-20.27%,-34.08%,0.00,1993-12-08,2018-09-07 15:00:00,39399
2,000951,中国重汽,11.68,0.13,1.13,16456,19184678,1.65,11.75,11.56,11.56,11.55,0.26,0.49,0.25,8.10,1.39,7838223949,7836139863,-16.93%,-34.6%,0.00,1999-11-25,2018-09-07 15:00:00,16456
1,603839,安正时尚,12.48,0.14,1.13,11676,14541906,1.70,12.55,12.34,12.35,12.34,0.08,0.97,1.12,15.53,1.93,5047648384,1303760592,-30.28%,-48.94%,-0.08,2017-02-14,2018-09-07 15:00:00,11676
1,600456,宝钛股份,15.17,0.17,1.13,31753,48384497,2.93,15.43,14.99,15.10,15.00,0.07,0.80,0.74,95.98,1.91,6527130702,6527130641,1.61%,-34.84%,0.00,2002-04-12,2018-09-07 15:00:00,31753
1,600309,万华化学,45.46,0.51,1.13,239384,1089397136,3.14,46.23,44.82,45.30,44.95,0.04,0.97,0.88,8.94,4.13,124288219385,124288219385,-4.17%,13.42%,-0.02,2001-01-05,2018-09-07 15:00:00,239384
2,002037,久联发展,8.04,0.09,1.13,11930,9583061,2.89,8.13,7.90,7.95,7.95,0.25,0.76,0.36,29.60,1.25,2632039994,2632039994,-15.81%,-34.63%,0.25,2004-09-08,2018-09-07 15:00:00,11930
1,600526,菲达环保,5.39,0.06,1.13,12568,6764479,1.88,5.41,5.31,5.32,5.33,0.00,1.20,0.23,118.57,1.25,2950511109,2950511109,-17.84%,-46.1%,-0.19,2002-07-22,2018-09-07 15:00:00,12568
2,300064,豫金刚石,5.40,0.06,1.12,359285,195000334,4.31,5.57,5.34,5.41,5.34,-0.92,1.15,5.93,19.45,0.93,6509573728,3270537447,-16.15%,-61.84%,-0.92,2010-03-26,2018-09-07 15:00:00,359285
2,002045,国光电器,5.44,0.06,1.12,129149,71213959,5.20,5.64,5.36,5.38,5.38,0.00,1.07,3.11,92.66,1.35,2548008514,2261330645,-26.29%,-69.37%,-0.18,2005-05-23,2018-09-07 15:00:00,129149
1,600511,国药股份,26.15,0.29,1.12,29648,77314094,2.67,26.35,25.66,25.66,25.86,0.15,1.04,1.07,15.77,2.37,20055315910,7260375432,-7.6%,-7.04%,0.15,2002-11-27,2018-09-07 15:00:00,29648
1,600734,实达集团,7.20,0.08,1.12,324526,232341150,5.06,7.34,6.98,6.98,7.12,0.00,1.76,9.15,22.77,1.51,4489313691,2553724963,-25.77%,-14.89%,0.00,1996-08-08,2018-09-07 15:00:00,324526
1,600882,广泽股份,8.16,0.09,1.12,4552,3744161,2.48,8.29,8.09,8.09,8.07,0.74,0.96,0.11,-,2.80,3350479985,3288137610,3.95%,-11.3%,-0.12,1995-12-06,2018-09-07 15:00:00,4552
1,603777,来伊份,11.70,0.13,1.12,32762,38219676,5.19,11.95,11.35,11.46,11.57,-0.17,1.07,2.96,53.93,2.15,3992122069,1294334802,-38.49%,-56.21%,0.09,2016-10-12,2018-09-07 15:00:00,32762
1,601608,中信重工,2.72,0.03,1.12,61975,16825187,2.60,2.74,2.67,2.67,2.69,0.00,1.03,0.14,93.02,1.64,11803220601,11696040510,-6.53%,-34.46%,0.00,2012-07-06,2018-09-07 15:00:00,61975
1,600333,长春燃气,5.42,0.06,1.12,108056,57627200,3.36,5.43,5.25,5.32,5.36,0.56,1.05,2.04,-,1.60,3300946354,2870539400,-0.18%,-34.46%,0.00,2000-12-11,2018-09-07 15:00:00,108056
2,002440,闰土股份,10.82,0.12,1.12,73833,80074823,2.99,11.00,10.68,10.72,10.70,0.00,0.78,0.80,8.81,1.69,12448409649,9993370761,-46.54%,-46.44%,0.00,2010-07-06,2018-09-07 15:00:00,73833
1,600880,博瑞传播,3.65,0.04,1.11,31678,11562658,1.39,3.67,3.62,3.62,3.61,-0.27,1.07,0.43,111.51,1.10,3990662240,2676782758,-15.51%,-31.52%,-,1995-11-15,2018-09-07 15:00:00,31678
2,002207,*ST准油,4.57,0.05,1.11,15978,7223702,2.65,4.58,4.46,4.46,4.52,0.88,0.91,0.67,-,3.23,1093040659,1085018270,-13.94%,-49.17%,0.66,2008-01-28,2018-09-07 15:00:00,15978
2,300192,科斯伍德,9.10,0.10,1.11,17577,16024170,2.00,9.18,9.00,9.00,9.00,0.78,0.76,1.02,15.26,3.26,2207205093,1568499626,-0.44%,-31.84%,0.22,2011-03-22,2018-09-07 15:00:00,17577
1,603198,迎驾贡酒,14.58,0.16,1.11,29130,42545838,2.50,14.78,14.42,14.42,14.42,0.28,0.85,0.36,15.26,2.96,11663999939,11663999939,-27.57%,-17.39%,0.00,2015-05-28,2018-09-07 15:00:00,29130
1,603113,金能科技,13.62,0.15,1.11,69710,95277848,2.97,13.86,13.46,13.56,13.47,0.07,1.00,2.10,8.81,2.15,9206295300,4520004640,-9.44%,-40.71%,-0.15,2017-05-11,2018-09-07 15:00:00,69710
1,600477,杭萧钢构,4.55,0.05,1.11,95290,43237657,2.44,4.58,4.47,4.51,4.50,0.00,0.84,0.58,11.55,2.70,8147594273,7470803653,-6.57%,-57.99%,0.22,2003-11-10,2018-09-07 15:00:00,95290
2,300189,神农基因,2.73,0.03,1.11,28095,7633434,1.85,2.74,2.69,2.69,2.70,0.37,0.99,0.32,-,1.98,2795520020,2409846190,-26.61%,-21.55%,0.00,2011-03-16,2018-09-07 15:00:00,28095
2,002311,海大集团,20.05,0.22,1.11,12820,25607162,1.61,20.10,19.78,19.78,19.83,-0.25,0.41,0.08,26.41,4.63,31717113923,30960855300,-12.29%,-12.22%,-0.15,2009-11-27,2018-09-07 15:00:00,12820
1,600532,宏达矿业,3.64,0.04,1.11,185998,67483793,4.72,3.72,3.55,3.55,3.60,0.83,0.76,3.60,-,1.05,1878479275,1878479304,-40.72%,-64.83%,0.28,2002-10-31,2018-09-07 15:00:00,185998
2,300713,英可瑞,27.55,0.30,1.10,4744,13048637,3.19,27.98,27.11,27.32,27.25,0.92,1.03,2.48,40.34,3.57,2634468677,526893735,-61.4%,-67.64%,0.51,2017-11-01,2018-09-07 15:00:00,4744
2,002174,游族网络,15.66,0.17,1.10,29694,46467210,3.16,15.82,15.33,15.55,15.49,-0.38,0.50,0.48,14.11,3.42,13913406756,9689871958,-23.05%,-33.25%,-0.19,2007-09-25,2018-09-07 15:00:00,29694
2,002543,万和电气,11.07,0.12,1.10,10415,11523240,2.37,11.18,10.92,11.02,10.95,0.18,0.79,0.21,11.45,2.06,6332039825,5371839919,-49.36%,-51.85%,0.09,2011-01-28,2018-09-07 15:00:00,10415
2,300148,天舟文化,4.60,0.05,1.10,141355,65127842,2.86,4.67,4.54,4.54,4.55,0.00,1.10,1.77,14.22,0.91,3886698371,3683632157,-1.08%,-44.17%,0.00,2010-12-15,2018-09-07 15:00:00,141355
2,002875,安奈儿,14.67,0.16,1.10,21488,31231261,2.27,14.67,14.34,14.63,14.51,0.55,1.00,5.53,17.48,2.33,1936967103,570318258,-11.89%,-45.18%,0.27,2017-06-01,2018-09-07 15:00:00,21488
2,000791,甘肃电投,4.61,0.05,1.10,27320,12548818,2.19,4.63,4.53,4.56,4.56,0.22,0.91,0.28,18.18,0.79,4476891912,4476724808,-0.43%,-42.73%,0.00,1997-10-14,2018-09-07 15:00:00,27320
