A,code,name,price,RF,涨跌额,volumn,成交额,振幅,最高,最低,今开,昨收,量比,,turnover,PE,市净率,B,C,D,E,F,G,H,I
2,002120,韵达股份,30.25,1.28,4.42,23939,71780399,4.38,30.32,29.05,29.05,28.97,0.10,1.48,1.02,25.90,5.46,51811128424,7110300192,-45.49%,-35.09%,-0.07,2007-03-06,2018-09-07 15:00:00,23939
1,600939,重庆建工,5.21,0.22,4.41,77808,40240023,8.22,5.37,4.96,4.98,4.99,0.00,3.17,1.90,25.43,1.55,9453545069,2133888808,-2.98%,-29.69%,0.19,2017-02-21,2018-09-07 15:00:00,77808
1,600039,四川路桥,3.56,0.15,4.40,450300,158537648,9.09,3.68,3.37,3.45,3.41,0.00,2.52,1.49,13.44,0.98,12853470609,10750248140,10.56%,-13.17%,0.00,2003-03-25,2018-09-07 15:00:00,450300
1,603939,益丰药房,52.46,2.21,4.40,34707,184730619,5.87,54.38,51.43,51.43,50.25,-0.08,1.17,0.96,42.24,5.80,19026961427,19026961322,1.67%,15.37%,0.00,2015-02-17,2018-09-07 15:00:00,34707
2,300357,我武生物,44.49,1.87,4.39,27959,122359189,4.65,44.58,42.60,43.31,42.62,0.20,1.23,1.10,62.25,15.40,12941251688,11299955643,12.78%,-11.14%,0.04,2014-01-21,2018-09-07 15:00:00,27959
2,002745,木林森,17.64,0.74,4.38,312229,540742144,6.69,17.77,16.64,16.95,16.90,0.51,1.64,6.01,23.27,2.42,22529252266,9170520312,9.09%,-63.33%,0.00,2015-02-17,2018-09-07 15:00:00,312229
1,600853,龙建股份,3.82,0.16,4.37,107772,40439542,5.46,3.85,3.65,3.76,3.66,1.33,4.07,2.01,58.19,1.74,2460720411,2050605241,-5.91%,-21.56%,0.79,1994-04-04,2018-09-07 15:00:00,107772
2,002259,升达林业,2.88,0.12,4.35,197304,56176124,6.52,2.92,2.74,2.75,2.76,0.70,1.55,2.73,-,1.32,2166705495,2084185719,-45.76%,-53.02%,0.35,2008-07-16,2018-09-07 15:00:00,197304
1,603186,华正新材,15.13,0.63,4.34,38975,60114759,7.93,15.95,14.80,14.99,14.50,0.13,5.38,5.29,31.65,3.14,1977037115,1115334633,-10.05%,-36.91%,0.07,2017-01-03,2018-09-07 15:00:00,38975
1,603023,威帝股份,5.85,0.24,4.28,22739,13113571,5.17,5.92,5.63,5.67,5.61,0.52,3.50,0.63,31.13,3.76,2105999966,2105999966,-4.1%,-33.97%,-,2015-05-27,2018-09-07 15:00:00,22739
2,000629,攀钢钒钛,2.93,0.12,4.27,2354874,693164944,7.83,3.05,2.83,2.83,2.81,0.00,1.62,4.94,10.94,4.61,25167956945,13967717799,26.84%,-23.7%,0.00,1996-11-15,2018-09-07 15:00:00,2354874
2,300692,中环环保,15.15,0.62,4.27,26026,38892355,8.60,15.55,14.30,14.68,14.53,-0.07,1.79,2.68,52.68,3.39,2424075689,1469625713,-41.39%,-64.85%,-,2017-08-21,2018-09-07 15:00:00,26026
2,000532,华金资本,9.05,0.37,4.26,88713,82998835,6.68,9.55,8.97,9.07,8.68,0.00,5.08,2.58,103.21,4.17,3119610543,3108525198,-17.43%,-13.97%,-0.11,1994-01-03,2018-09-07 15:00:00,88713
1,600891,秋林集团,5.14,0.21,4.26,49969,25452437,4.67,5.18,4.95,4.96,4.93,0.00,7.24,1.30,35.84,1.03,3174390945,1981208096,-2.47%,-32.99%,0.00,1996-03-25,2018-09-07 15:00:00,49969
1,603110,东方材料,13.29,0.54,4.24,18101,23586133,5.02,13.36,12.72,12.75,12.75,0.76,1.65,5.04,55.79,3.07,1910216615,477554619,-20.56%,-49.62%,0.23,2017-10-13,2018-09-07 15:00:00,18101
2,002507,涪陵榨菜,24.18,0.98,4.22,111438,268677552,4.91,24.50,23.36,23.36,23.20,0.08,1.55,1.44,31.26,9.03,19086658328,18660196412,-4.28%,31.06%,0.00,2010-11-23,2018-09-07 15:00:00,111438
2,300540,深冷股份,14.53,0.58,4.16,66889,93717294,10.18,14.95,13.53,13.69,13.95,0.14,2.96,10.45,123.82,2.78,1807677194,930419248,-23.24%,-41.72%,0.00,2016-08-23,2018-09-07 15:00:00,66889
1,600715,文投控股,5.03,0.20,4.14,159089,80319544,10.77,5.31,4.79,4.81,4.83,0.00,1.90,1.24,647.56,1.32,9329913494,6459524257,-31.1%,-75.12%,0.00,1996-07-01,2018-09-07 15:00:00,159089
1,600521,华海药业,19.93,0.79,4.13,115308,227811749,6.37,20.14,18.92,19.20,19.14,0.25,1.75,0.93,54.35,5.07,24929214437,24642924965,-27.02%,-35.08%,0.00,2003-03-04,2018-09-07 15:00:00,115308
2,002002,鸿达兴业,3.06,0.12,4.08,498254,150787590,5.10,3.08,2.93,2.94,2.94,0.66,1.52,2.06,9.44,1.33,7921464046,7398912565,-54.12%,-56.1%,0.00,2004-06-25,2018-09-07 15:00:00,498254
2,300527,中国应急,8.96,0.35,4.07,421520,368404768,10.22,9.25,8.37,8.43,8.61,-0.11,1.39,16.33,35.37,3.77,7835546913,2312413153,-15.31%,-62.71%,-0.11,2016-08-05,2018-09-07 15:00:00,421520
1,603726,朗迪集团,23.29,0.91,4.07,19935,45721626,4.29,23.38,22.42,22.42,22.38,0.00,2.01,6.01,22.29,3.68,3088440441,772110110,17.69%,-24.14%,0.04,2016-04-21,2018-09-07 15:00:00,19935
1,600682,南京新百,11.38,0.44,4.02,208812,234204244,4.02,11.45,11.01,11.05,10.94,0.35,1.21,2.15,-,1.17,14711078845,11073651604,-68.3%,-70.02%,0.18,1993-10-18,2018-09-07 15:00:00,208812
2,300347,泰格医药,53.80,2.05,3.96,48571,261002133,4.44,54.60,52.30,52.88,51.75,0.04,1.26,1.47,61.53,10.07,26909497309,17731420104,-8.8%,51.08%,0.00,2012-08-17,2018-09-07 15:00:00,48571
2,300517,海波重科,14.96,0.57,3.96,44529,65851058,5.98,15.25,14.39,14.41,14.39,0.40,2.32,10.87,73.45,2.56,1598535844,612986002,-35.99%,-23.32%,0.00,2016-07-19,2018-09-07 15:00:00,44529
2,300588,熙菱信息,13.75,0.52,3.93,123990,168806754,9.75,14.20,12.91,13.20,13.23,-0.07,1.16,16.58,-,6.40,2200000000,1028225000,-44.91%,-52.72%,0.07,2017-01-05,2018-09-07 15:00:00,123990
2,300393,中来股份,17.01,0.64,3.91,43009,72374560,5.80,17.20,16.25,16.37,16.37,-0.35,1.69,3.57,30.88,1.61,4099319579,2051026109,-53.46%,-51.87%,0.00,2014-09-12,2018-09-07 15:00:00,43009
1,603601,再升科技,7.45,0.28,3.91,25771,18943068,4.46,7.48,7.16,7.17,7.17,0.00,1.45,0.48,26.66,3.32,4027557539,4027557509,-22.56%,-44.19%,-0.13,2015-01-22,2018-09-07 15:00:00,25771
2,300284,苏交科,9.34,0.35,3.89,81178,75451686,6.12,9.50,8.95,9.12,8.99,0.32,1.49,1.58,20.67,1.99,7560776674,4803041579,7.23%,-43.29%,0.11,2012-01-10,2018-09-07 15:00:00,81178
2,000950,重药控股,7.49,0.28,3.88,412665,314526128,10.12,7.93,7.20,7.20,7.21,-0.53,1.19,13.04,20.91,1.85,12944102977,2370621119,-14.79%,-25.55%,-0.40,1999-09-16,2018-09-07 15:00:00,412665
2,300267,尔康制药,3.75,0.14,3.88,162611,60237904,6.37,3.82,3.59,3.63,3.61,-0.27,0.88,1.37,17.46,1.40,7734768262,4444959900,-27.18%,-43.44%,-0.27,2011-09-27,2018-09-07 15:00:00,162611
1,600106,重庆路桥,3.22,0.12,3.87,191783,61481453,7.10,3.31,3.09,3.12,3.10,-0.31,3.18,1.75,10.52,1.01,3536744412,3536744425,-2.13%,-25.12%,0.00,1997-06-18,2018-09-07 15:00:00,191783
2,300164,通源石油,8.63,0.32,3.85,296017,253072736,5.42,8.77,8.32,8.32,8.31,0.70,1.41,9.33,29.63,2.32,3894392484,2737840196,24.35%,31.55%,0.12,2011-01-13,2018-09-07 15:00:00,296017
